Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Function","Motor Type","Voltage - Rated","RPM","Torque - Rated (oz-in / mNm)","Power - Rated","Encoder Type","Size / Dimension","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Features","Gear Reduction Ratio","Torque - Max Momentary (oz-in / mNm)","Operating Temperature","URL"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/spring-contacts/v-z4th5b1709181l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/822/Z4TH5B1709181L.jpg","1670-VZ4TH5B1709181L-ND","VZ4TH5B1709181L","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 10K RPM 1.1G","2,401","2.95","0","1","Bulk","Z4TH","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","10000 RPM","-","-","-","Rectangular - 0.217"" x 0.197"" (5.50mm x 5.00mm)","-","0.177"" (4.50mm)","-","Pressure Contact","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ4TH5B1709181L/12323581"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/smd/v-z43fc1b5640007l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2707/MFG_Z43FC1B5640007L.jpg","1670-VZ43FC1B5640007LTR-ND,1670-VZ43FC1B5640007LCT-ND,1670-VZ43FC1B5640007LDKR-ND","VZ43FC1B5640007L","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 10K RPM 0.65G","7,178","2.96","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Z43","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","10000 RPM","-","-","-","Rectangular - 0.177"" x 0.169"" (4.50mm x 4.30mm)","-","0.217"" (5.50mm)","-","J Lead","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ43FC1B5640007L/12323649"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/smd/v-z43fc1b5640005l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/694/MFG_Z43FC1B5640005L.jpg","1670-VZ43FC1B5640005LTR-ND,1670-VZ43FC1B5640005LCT-ND,1670-VZ43FC1B5640005LDKR-ND","VZ43FC1B5640005L","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 9K RPM 0.6G","51,456","3.05","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DC Motor","Vibration, ERM (Haptic)","-","1.3VDC","9000 RPM","-","-","-","Rectangular - 0.177"" x 0.169"" (4.50mm x 4.30mm)","-","0.217"" (5.50mm)","-","J Lead","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ43FC1B5640005L/9974274"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/v-z7al2b1690002","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/694/MFG_Z7AL2B1690002.jpg","1670-VZ7AL2B1690002-ND","VZ7AL2B1690002","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 12K RPM 5.1G","798","3.13","0","1","Tray","Z7A","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","12000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","0.256"" (6.50mm)","-","Wire Leads","-","-","-","-","https://www.digikey.com/en/products/detail/vybronics-inc/VZ7AL2B1690002/9887685"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-clp1020b002l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/698/MFG_CLP1020B002L.jpg","1670-VCLP1020B002L-ND","VCLP1020B002L","Vybronics Inc","Vybronics, Inc","VIBRATION COIN 3V LOW CURR 0.75G","5,285","3.15","0","1","Tray","CLP","Active","DC Motor","Vibration, ERM (Haptic)","Brushed","3VDC","8000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VCLP1020B002L/10285888"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c0625b001l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2665/MFG_C0625B001L.jpg","1670-VC0625B001L-ND","VC0625B001L","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 10K RPM 0.2G","10,419","3.17","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","Brushed","3VDC","10000 RPM","-","-","-","Round - 0.236"" Dia (6.00mm)","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC0625B001L/12323586"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/smd/v-z30c1t8219732l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/56/MFG_Z30C1T8219731.jpg","1670-VZ30C1T8219732LTR-ND,1670-VZ30C1T8219732LCT-ND,1670-VZ30C1T8219732LDKR-ND","VZ30C1T8219732L","Vybronics Inc","Vybronics, Inc","VIBRATION MOTOR 14K RPM 0.42G","33,875","3.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DC Motor","Vibration, ERM (Haptic)","Brushed","2.7VDC","14000 RPM","-","-","-","Rectangular - 0.173"" x 0.134"" (4.40mm x 3.40mm)","-","0.148"" (3.75mm)","-","Solder Tab","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ30C1T8219732L/15220804"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/smd/v-z30c1t8460002l","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/56/MFG_Z30C1T8460001.jpg","1670-VZ30C1T8460002LTR-ND,1670-VZ30C1T8460002LCT-ND,1670-VZ30C1T8460002LDKR-ND","VZ30C1T8460002L","Vybronics Inc","Vybronics, Inc","VIBRATION MOTOR 15K RPM 0.39G","27,565","3.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DC Motor","Vibration, ERM (Haptic)","Brushed","2.7VDC","15000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.146"" (3.70mm)","-","Solder Tab","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ30C1T8460002L/15220803"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/smd/v-z43fc1a6730098u","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4270/MFG_VZ43FC1A6730098U.jpg","1670-VZ43FC1A6730098UTR-ND,1670-VZ43FC1A6730098UCT-ND,1670-VZ43FC1A6730098UDKR-ND","VZ43FC1A6730098U","Vybronics Inc","Vybronics, Inc","VIBRATION MOTOR 9000 RPM 0.9G","7,658","3.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","VZ","Active","DC Motor","Vibration, ERM (Haptic)","-","1.3VDC","9000 RPM","-","-","-","Rectangular - 0.191"" x 0.177"" (4.85mm x 4.50mm)","-","0.185"" (4.70mm)","-","J Lead","-","-","-","-","https://www.digikey.com/en/products/detail/vybronics-inc/VZ43FC1A6730098U/16376004"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832012","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3804/MFG_VG0832012.jpg","1670-VG0832012-ND","VG0832012","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","2,208","3.21","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VG0832012/7364317"
"https://www.vybronics.com/wp-content/uploads/datasheet-files/Vybronics-VG1030001XH-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6347/MFG_VG1030001XH.jpg","1670-VG1030001XH-ND","VG1030001XH","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 210HZ 1.5G","557","3.22","0","1","Tray","VG","Active","DC Motor","Vibration, LRA (Haptic)","-","2VAC","-","2.1 / 14.7","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-25°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VG1030001XH/24629404"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c0720b001f","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1087/MFG_C0720B001F_BACK.jpg","1670-VC0720B001F-ND","VC0720B001F","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 10K RPM 0.3G","5,511","3.23","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","10000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","-","-","Solder Tab","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC0720B001F/6009905"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1234b016f","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/323/C1234B016.JPG","1670-VC1234B016F-ND","VC1234B016F","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 9K RPM 2G","1,817","3.23","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","9000 RPM","-","-","-","Round - 0.472"" Dia (12.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC1234B016F/9974297"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832013d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3763/MFG_VG0832013D.jpg","1670-VG0832013D-ND","VG0832013D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 235HZ 1G","1,408","3.49","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VG0832013D/9974290"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1034b400d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/824/C1034B400D.jpg","1670-VC1034B400D-ND","VC1034B400D","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 9.5K RPM 1.6","1,901","3.53","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","Brushed","3VDC","12000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC1034B400D/12323584"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c0720b015f","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2196/MFG_C0720B015F.jpg","1670-VC0720B015F-ND","VC0720B015F","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 8K RPM 0.3G","233","3.55","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","8000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC0720B015F/6570601"
"https://www.vybronics.com/linear-lra-vibration-motors/v-l120628h","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4727/MFG_L120628H.jpg","1670-VL120628H-ND","VL120628H","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MTR 200HZ 1.8G","326","3.56","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Rectangular - 0.236"" x 0.110"" (6.00mm ~ 2.80mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VL120628H/15220801"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/encapsulated/v-z6dl2b0055211","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1240/MFG_Z6DL2B0055211.jpg","1670-VZ6DL2B0055211-ND","VZ6DL2B0055211","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 11K RPM 1.1G","990","3.61","0","1","Tray","Z6D","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","11000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","-","-","Wire Leads","-","-","-","-","https://www.digikey.com/en/products/detail/vybronics-inc/VZ6DL2B0055211/6009925"
"https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1434b002u","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5351/MFG_VC1434B002U.jpg","1670-VC1434B002U-ND","VC1434B002U","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MOTOR 9K RPM 3.0G","1,982","3.78","0","1","Tray","VC","Active","DC Motor","Vibration, ERM (Haptic)","Brushed","3.7VDC","9000 RPM","4.17 / 29.42","-","-","Round - 0.551"" (14.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VC1434B002U/19203004"
"https://puiaudio.com/file/specs-HD-EMB1104-SM-2.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5038/MFG_HD-EMB1104-SM-2.jpg","668-HD-EMB1104-SM-2TR-ND,668-HD-EMB1104-SM-2CT-ND,668-HD-EMB1104-SM-2DKR-ND","HD-EMB1104-SM-2","PUI Audio, Inc.","PUI Audio, Inc.","SMD HD MOTOR 3VDC 14000RPM","2,895","3.79","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Haptics","Active","DC Motor","Vibration, ERM (Haptic)","-","2.7VDC","14000 RPM","-","-","-","Rectangular - 0.173"" x 0.134"" (4.40mm x 3.40mm)","-","0.157"" (4.00mm)","-","Solder Tab","-","-","-","-20°C ~ 70°C","https://www.digikey.com/en/products/detail/pui-audio-inc/HD-EMB1104-SM-2/18687008"
"https://www.vybronics.com/coin-vibration-motors/bldc-brushless/v-w0825ab001g","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/694/MFG_W0825AB001G.jpg","1670-VW0825AB001G-ND","VW0825AB001G","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 10.5K RPM 1G","2,737","3.89","0","1","Tray","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","15000 RPM","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VW0825AB001G/9974284"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/encapsulated/v-z7al2b1692082","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1054/MFG_Z7AL2B1692082.jpg","1670-VZ7AL2B1692082-ND","VZ7AL2B1692082","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 12K RPM 5.1G","15,582","3.96","0","1","Tray","Z7A","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","12000 RPM","-","-","-","Round - 0.347"" Dia (8.80mm)","-","-","-","Wire Leads","-","-","-","-","https://www.digikey.com/en/products/detail/vybronics-inc/VZ7AL2B1692082/6009928"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/through-hole/v-z7al2b1692612","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2554/MFG_Z7AL2B1692612.jpg","1670-VZ7AL2B1692612-ND","VZ7AL2B1692612","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 12K RPM 5.1G","1,905","4.04","0","1","Tray","Z7A","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","12000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","0.256"" (6.50mm)","-","Wire Leads","-","-","-","-","https://www.digikey.com/en/products/detail/vybronics-inc/VZ7AL2B1692612/7732322"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/encapsulated/v-z7al2b169208t","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/692/MFG_Z7AL2B169208T.jpg","1670-VZ7AL2B169208T-ND","VZ7AL2B169208T","Vybronics Inc","Vybronics, Inc","VIBRATION ERM MTR 12K RPM 5.1G","2,498","4.14","0","1","Tray","Z7AL2","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","12000 RPM","-","-","-","Round - 0.347"" Dia (8.80mm)","-","0.256"" (6.50mm)","-","Wire Leads","-","-","-","-30°C ~ 60°C","https://www.digikey.com/en/products/detail/vybronics-inc/VZ7AL2B169208T/9974291"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0640001d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3568/MFG_VG0640001D.jpg","1670-VG0640001D-ND","VG0640001D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 210HZ 0.9G","859","4.63","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.236"" Dia (6.00mm)","-","-","-","Solder Tab","-","-","-","-15°C ~ 55°C","https://www.digikey.com/en/products/detail/vybronics-inc/VG0640001D/15220805"
"https://www.parallax.com/package/flat-coin-motor-documentation/?ind=1622757573651&filename=28821-Flat-Coin-Vibration-Motor-Guide.pdf&wpdmdl=2070&refresh=6192a87af388a1637001338","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/398/28821.JPG","28821-ND","28821","Parallax Inc.","Parallax Inc.","VIBRATION ERM MOTOR 9000 RPM 3V","2,074","4.95","0","1","Bulk","C1026B","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","9000 RPM","-","-","-","-","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/parallax-inc/28821/3083191"
"https://www.vybronics.com/erm-cylindrical-vibration-motors/strong/v-jp16-70e310","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1826/MFG_ZJP16-70E310.jpg","1670-VJP16-70E310-ND","VJP16-70E310","Vybronics Inc","Vybronics, Inc","VIBRATION MOTOR 8250 RPM 6.4G","4,643","5.07","0","1","Tray","ZJP","Active","DC Motor","Vibration, ERM (Haptic)","-","7.2VDC","8250 RPM","-","-","-","Round - 0.472"" Dia (12.00mm)","-","0.335"" (8.50mm)","-","Solder Tab","-","-","-","-20°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VJP16-70E310/6009932"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g1040003d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/333/MFG_G1040003D.jpg","1670-VG1040003D-ND","VG1040003D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 170HZ 2G","13,386","6.03","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2.5VAC","-","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-25°C ~ 70°C","https://www.digikey.com/en/products/detail/vybronics-inc/VG1040003D/10285886"
"https://www.parallax.com/package/vibration-motor-capsule-documentation/?wpdmdl=2208&refresh=627514ee867b01651840238&ind=1643162781225&filename=28822-Vybronics-VZ7AL2B1692082-Jinlong-Z7AL2B1692082-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/600/28822.JPG","28822-ND","28822","Parallax Inc.","Parallax Inc.","VIBRATION ERM MTR 12000 RPM 3V","1,262","6.95","0","1","Bulk","-","Active","DC Motor","Vibration, ERM (Haptic)","-","3VDC","12000 RPM","-","-","-","-","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C","https://www.digikey.com/en/products/detail/parallax-inc/28822/3083192"
"https://product.tdk.com/system/files/dam/doc/product/sw_piezo/haptic/powerhap/data_sheet/20/10/ds/1313h018v120.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/310/MFG_B54101H1020A001.jpg","495-B54102H1020A001-ND","B54102H1020A001","TDK","TDK","VIBRATION PIEZO MOTOR 0-120 V","1,052","18.22","0","1","Box","PowerHap","Active","-","Vibration, Piezo (Haptic)","-","0 ~ 120V","-","-","-","-","Square - 0.500"" x 0.500"" (12.70mm x 12.70mm)","-","-","-","Solder Pad","-","-","-","-40°C ~ 85°C","https://www.digikey.com/en/products/detail/tdk/B54102H1020A001/10257750"
